epoch	loss	acc-top1	acc-top5	lr	batch	batch-time	epoch-time
1	4.569568300242192	0.07927021075810003	0.23351158645276293	0.01	32	0.9013705014385108	269.55094933509827
2	3.674638867865722	0.14459473629023803	0.3696130858760617	0.01	32	0.9444753342248923	282.4452311992645
3	3.4179985926963004	0.18443955122155814	0.4398657858865471	0.01	32	0.9401740254367076	281.16203117370605
4	3.1839835895011546	0.22491349480968859	0.5081262451504666	0.01	32	0.9321844705371155	279.00221157073975
5	3.0125679765543096	0.2567893467547447	0.5498584460522177	0.01	32	0.9632901682901542	288.07303404808044
6	2.835182246389886	0.29223026108839256	0.5937925972528049	0.01	32	0.9402803369987769	281.1895055770874
7	2.719130678497871	0.316766278703995	0.6254587396455908	0.01	32	0.9427580729774807	281.95027685165405
8	2.5914414061232036	0.350424661843347	0.651357869350949	0.01	32	0.9843051983759954	294.3910140991211
9	2.460893379638214	0.3780014679668659	0.6762084512949564	0.01	32	0.9216817142971383	275.6378552913666
10	2.3285565763271316	0.4045297263290343	0.7081891580161477	0.01	32	0.9297463535066433	278.05437088012695
11	2.2052432787522114	0.42917059872077173	0.7319911921988047	0.01	32	0.9415285076983397	281.5607182979584
12	2.089874753665034	0.46052217678515256	0.7573660480234875	0.01	32	0.9367713641163498	280.1394462585449
13	2.015439820537105	0.4774037957428961	0.7657544301142917	0.01	32	0.9288116075522126	277.76220297813416
14	1.9084206291923511	0.5035126350005242	0.790080738177624	0.01	32	0.9427964687347412	281.95185804367065
15	1.812166048043727	0.5280486526161267	0.8015099087763448	0.01	32	0.9212383833218578	275.5058343410492
16	1.71231648571226	0.5470273670965713	0.8180769634056831	0.01	32	0.9274234117871543	277.33853697776794
17	1.649221174144715	0.5653769529202055	0.8281430219146482	0.01	32	0.9341391289114553	279.60451889038086
18	1.6093525812537637	0.5735556254587396	0.8414595784837999	0.01	32	0.923924293007739	276.30665469169617
19	1.5430041238473398	0.5877110202369717	0.8448149313201216	0.01	32	0.9385635366407924	280.68227791786194
20	1.4780327893033447	0.6031246723288246	0.8563489566949775	0.01	32	0.9264736917106603	277.051828622818
21	1.400690319628864	0.6270315612876166	0.867463562965293	0.01	32	0.9419584609194344	281.691125869751
22	1.3634836637987535	0.6365733459159064	0.8741742686379365	0.01	32	0.9353407402102365	279.71122789382935
23	1.2747511349722338	0.6558666247247562	0.8842403271469016	0.01	32	0.9206570287213278	275.3220467567444
24	1.2734104904773988	0.6618433469644542	0.8847646010275768	0.01	32	0.9362775801017531	279.99493312835693
25	1.2268727068457574	0.6660375380098563	0.8907413232672748	0.01	32	0.9398886136785399	281.0758101940155
26	1.1827942608812014	0.6757890321904163	0.899129705358079	0.01	32	0.9182945980276153	274.6220979690552
27	1.1206981973527075	0.6952920205515362	0.9046870084932369	0.01	32	0.8996472175304706	270.63020062446594
28	1.098682571959918	0.7031561287616651	0.9073083778966132	0.01	32	0.9202898282271165	275.2219886779785
29	1.0436147914513285	0.7184649260773828	0.9143336478976617	0.01	32	0.9039708037041502	270.3295042514801
30	1.0260030637562894	0.7218202789137045	0.9185278389430639	0.01	32	0.9212302818744876	276.0262279510498
31	1.0236658585000316	0.7234979553318653	0.9165355981964979	0.01	32	0.9046474651349428	270.5386207103729
32	0.9978235417646321	0.7264338890636468	0.9195763867044144	0.01	32	0.903214203474115	270.11559224128723
33	0.9635939952073963	0.7330397399601551	0.9217783370032505	0.01	32	0.9368700741924171	280.1795461177826
34	0.926424729270331	0.7502359232463038	0.9272307853622732	0.01	32	0.9029570798012724	270.0305619239807
35	0.9145036738686583	0.7496067945894935	0.9336269267065115	0.01	32	0.9034551059123266	270.1748366355896
36	0.8870122500956902	0.7551640977246513	0.9349900387962672	0.01	32	0.9033095390102935	270.13777780532837
37	0.8501148244376401	0.764391318024536	0.9390793750655342	0.01	32	0.9394995687797316	280.9631390571594
38	0.8148847449259574	0.7735136835482856	0.942749292230261	0.01	32	0.9024862015127737	269.8858106136322
39	0.81405598079557	0.7736185383244206	0.9468386284995282	0.01	32	0.9017410023156616	269.6603674888611
40	0.7798912549926336	0.7893467547446786	0.9413861801405053	0.01	32	0.9038592891948279	270.3097641468048
41	0.7721366568832662	0.7870399496697075	0.9475726119324736	0.01	32	0.9032495173323514	270.11318731307983
42	0.7600875237808795	0.788193352207193	0.9497745622313096	0.01	32	0.9031257445995624	270.0906445980072
43	0.7316987426748213	0.7953234769843767	0.9514522386494705	0.01	32	0.9027781502458961	269.9834427833557
44	0.7177940961936365	0.8021390374331551	0.9500891265597148	0.01	32	0.927054193904966	277.2284197807312
45	0.7046096748159256	0.80203418265702	0.9495648526790396	0.01	32	0.9033370576175958	270.15509033203125
46	0.6830742287913296	0.8084303240012582	0.9560658487994128	0.01	32	0.9100801067607459	272.16662096977234
47	0.6955435719269557	0.8104225647478243	0.9534444793960365	0.01	32	0.90291665389785	270.0183491706848
48	0.6482234424648263	0.8172381251966027	0.9584775086505191	0.01	32	0.9030185280037564	270.058381319046
49	0.649873925965325	0.8194400754954388	0.9581629443221139	0.01	32	0.9030875808817885	270.07154655456543
50	0.6424208546854783	0.8199643493761141	0.9586872182027891	0.01	32	0.9037231968398078	270.2559461593628
51	0.6237596272047278	0.8269896193771626	0.9622522805913809	0.01	32	0.9022519708078441	269.82086157798767
52	0.605106756698914	0.8351682919156967	0.9621474258152459	0.01	32	0.9029890757340652	270.0361490249634
53	0.6056777919702488	0.8310789556464296	0.9649785047708923	0.01	32	0.9030279897925846	270.0530917644501
54	0.5790388626885812	0.8449197860962567	0.9636153926811366	0.01	32	0.9027937240026468	269.98150396347046
55	0.5881891890593116	0.8377896613190731	0.9646639404424872	0.01	32	0.9021300639595874	269.78130197525024
56	0.5745461687322206	0.8429275453496907	0.9619377162629758	0.01	32	0.9018331124232366	269.6954402923584
57	0.571401652767809	0.8407255950508545	0.9659221977561078	0.01	32	0.9082856098545036	271.630019903183
58	0.5424587238856153	0.8493236866939289	0.9693824053685646	0.01	32	0.9030931386660572	270.0692596435547
59	0.5497861155001662	0.8484848484848485	0.9695921149208346	0.01	32	0.9037464263048459	270.2642517089844
60	0.5447922591407106	0.8492188319177939	0.9686484219356192	0.01	32	0.9033595184019976	270.1519341468811
61	0.5443291333632436	0.8484848484848485	0.968333857607214	0.01	32	0.9038776817130405	270.3073236942291
62	0.5288589011451614	0.8556149732620321	0.9715843556674006	0.01	32	0.9002641172313371	269.2414891719818
63	0.49539008380057514	0.8641082101289713	0.9716892104435357	0.01	32	0.8993676274915204	268.96864223480225
64	0.4880558408205397	0.8659955960994024	0.9734717416378316	0.01	32	0.8992487140323805	268.9380497932434
65	0.4825365481117155	0.8677781272936982	0.9706406626821852	0.01	32	0.8987091464741174	268.7624156475067
66	0.5048706940763636	0.8600188738597043	0.9726329034287512	0.01	32	0.8976874766142472	268.45843386650085
67	0.47069397509641786	0.8697703680402642	0.9752542728321275	0.01	32	0.89854148478811	268.7148244380951
68	0.46674743938136054	0.8688266750550487	0.9745202893991821	0.01	32	0.8979827042008722	268.54580450057983
69	0.45593428314263384	0.8733354304288561	0.9755688371605327	0.01	32	0.8992228986427537	268.9097943305969
70	0.4477712939317289	0.8757470902799622	0.976407675369613	0.01	32	0.8984211782946634	268.6644637584686
