epoch	loss	acc-top1	lr	batch	batch-time	epoch-time
1	0.7349467066803363	0.5050505050505051	0.001	2	1.412760645452172	139.87875318527222
2	0.6965351760989488	0.5252525252525253	0.001	2	1.4397918286949698	142.570063829422
3	0.7033625389590408	0.5252525252525253	0.001	2	1.448133723904388	143.39914345741272
4	0.6503996563078177	0.6363636363636364	0.001	2	1.4471001817722513	143.2840118408203
5	0.6593765420745118	0.6313131313131313	0.001	2	1.4491109414534136	143.49584698677063
6	0.6465079733217606	0.6060606060606061	0.001	2	1.4485350064557008	143.43571877479553
7	0.6248364581002129	0.6161616161616161	0.001	2	1.4495944446987576	143.54356050491333
8	0.5977650071033324	0.6616161616161617	0.001	2	1.4500364125377	143.58281254768372
9	0.6190130337320193	0.6717171717171717	0.001	2	1.4505728182166513	143.63837313652039
10	0.5564757058716784	0.7121212121212122	0.001	2	1.4515198360789905	143.7207350730896
11	0.5608252455489804	0.7474747474747475	0.001	2	1.4527619944678412	143.84340000152588
12	0.581403769025899	0.6818181818181818	0.001	2	1.4527406909249045	143.84079313278198
13	0.5611432288030181	0.7171717171717171	0.001	2	1.451393064826426	143.70878314971924
14	0.5266848378109209	0.7222222222222222	0.001	2	1.45224928855896	143.79262971878052
15	0.5578381265654708	0.7171717171717171	0.001	2	1.4545856943034163	144.02401757240295
16	0.5160207600906642	0.7474747474747475	0.001	2	1.453753083643287	143.95209980010986
17	0.5696472751371788	0.7070707070707071	0.001	2	1.4531212816334733	143.87845706939697
18	0.5214039924168827	0.7070707070707071	0.001	2	1.455002324749725	144.0747013092041
19	0.4787771397768849	0.7626262626262627	0.001	2	1.4550741248660617	144.08311247825623
20	0.48358569994117273	0.7676767676767676	0.001	2	1.4562557032614043	144.20266914367676
21	0.47913664699804903	0.7575757575757576	0.001	2	1.4562900861104329	144.19451713562012
22	0.5073521323878356	0.7222222222222222	0.001	2	1.4556093480851915	144.1328480243683
23	0.5221362014611562	0.7373737373737373	0.001	2	1.4559360465618094	144.16465210914612
24	0.4898660300355969	0.7323232323232324	0.001	2	1.4564898688383776	144.21250748634338
25	0.45271505219767794	0.7474747474747475	0.001	2	1.456155620440088	144.17895460128784
26	0.49320918171092715	0.7424242424242424	0.001	2	1.4559737528213348	144.1737883090973
27	0.4207908875412411	0.7828282828282829	0.001	2	1.4560859251503993	144.17240858078003
28	0.4482121329114895	0.7727272727272727	0.001	2	1.456848797172007	144.25940203666687
29	0.3777247899108463	0.803030303030303	0.001	2	1.4562108805685332	144.19544458389282
30	0.4533236496376269	0.7424242424242424	0.001	2	1.4581400601550787	144.37661457061768
31	0.40733624648566197	0.7828282828282829	0.001	2	1.4578661003498117	144.359112739563
32	0.4422616793049706	0.7676767676767676	0.001	2	1.457678698530101	144.34147930145264
33	0.42546810856973283	0.7626262626262627	0.001	2	1.4598351247382886	144.55501437187195
