epoch	loss	acc-top1	lr	batch	batch-time	epoch-time
1	0.7197155500903274	0.4595959595959596	0.001	1	0.9406523584115385	186.27579283714294
2	0.7009049431242124	0.5252525252525253	0.001	1	0.9583244697012082	189.7958950996399
3	0.7086962122808803	0.5202020202020202	0.001	1	0.9593289295832316	189.9948706626892
4	0.7013231816917959	0.51010101010101	0.001	1	0.9596411218546858	190.05769610404968
5	0.6990728232294622	0.5353535353535354	0.001	1	0.9595467670999392	190.02791142463684
6	0.7083607163995204	0.47474747474747475	0.001	1	0.9584874095338763	189.83135223388672
7	0.6996337988159873	0.5202020202020202	0.001	1	0.9583997593985664	189.79183793067932
8	0.6758200682774939	0.5858585858585859	0.001	1	0.9584146437018809	189.8000295162201
9	0.6889502839608626	0.5555555555555556	0.001	1	0.9572807694926406	189.58713293075562
10	0.6806499121165035	0.5353535353535354	0.001	1	0.958171875789912	189.75594329833984
11	0.675444174896587	0.5656565656565656	0.001	1	0.9586828778488468	189.85222601890564
12	0.6536482355811379	0.6666666666666666	0.001	1	0.9579893796130864	189.71931314468384
13	0.6663642099710426	0.5909090909090909	0.001	1	0.9585209747757575	189.8153853416443
14	0.6443603315738716	0.6515151515151515	0.001	1	0.958948491799711	189.9026975631714
15	0.6456994409814025	0.6313131313131313	0.001	1	0.9584495744319877	189.81505465507507
16	0.6361604632452281	0.6767676767676768	0.001	1	0.9606497480411722	190.2396421432495
17	0.6025471568408639	0.6868686868686869	0.001	1	0.9575498910865399	189.64326190948486
18	0.6097306563998713	0.6818181818181818	0.001	1	0.9584805568059286	189.82200980186462
19	0.600036230954257	0.7070707070707071	0.001	1	0.9585235528271607	189.83390021324158
20	0.5550189049858035	0.8181818181818182	0.001	1	0.9586185493854561	189.83732151985168
21	0.5606757840423873	0.7676767676767676	0.001	1	0.9597712694996535	190.07335805892944
22	0.5009788870811462	0.8282828282828283	0.001	1	0.956697389332935	189.4710931777954
23	0.4759623253285283	0.8333333333333334	0.001	1	0.957940667566627	189.7225103378296
24	0.4625449457553902	0.8282828282828283	0.001	1	0.9577980595405655	189.68379306793213
25	0.4531689788958039	0.8282828282828283	0.001	1	0.9577113064852628	189.6607484817505
26	0.3967926910128256	0.8787878787878788	0.001	1	0.9593586500244912	190.0072283744812
27	0.30326187294540985	0.9393939393939394	0.001	1	0.9588741726345487	189.888019323349
28	0.2929019149806764	0.9393939393939394	0.001	1	0.9571078871235703	189.5491166114807
29	0.3020690151236274	0.9141414141414141	0.001	1	0.959180271986759	189.96309161186218
30	0.26456470953093636	0.9242424242424242	0.001	1	0.957897652279247	189.71409249305725
31	0.2605281299111819	0.9141414141414141	0.001	1	0.9587606709412854	189.8722231388092
32	0.30985128458100136	0.8888888888888888	0.001	1	0.9582495833888198	189.7610149383545
33	0.34860780067516095	0.8333333333333334	0.001	1	0.9598001434345438	190.07432222366333
34	0.2784090987359635	0.9090909090909091	0.001	1	0.95778215774382	189.67088389396667
35	0.17778364501216196	0.9646464646464646	0.001	1	0.9584039835014728	189.81034088134766
36	0.14003990425003898	0.9797979797979798	0.001	1	0.9569943468980114	189.52876567840576
37	0.2697314535728609	0.898989898989899	0.001	1	0.9582143094804552	189.7703001499176
38	0.12904185899580367	0.9848484848484849	0.001	1	0.9581799880422727	189.7635316848755
39	0.10892594869088645	0.9747474747474747	0.001	1	0.9578423740887883	189.68955183029175
40	0.10932026186374703	0.9747474747474747	0.001	1	0.957943441891911	189.71445894241333
41	0.14476597188699125	0.9696969696969697	0.001	1	0.9565715597133444	189.4423108100891
42	0.11472655411320504	0.9747474747474747	0.001	1	0.9583019210834696	189.77810549736023
43	0.21349497591004227	0.9141414141414141	0.001	1	0.9577677707479457	189.68578028678894
44	0.13365994122895328	0.9595959595959596	0.001	1	0.957614556707517	189.65048694610596
45	0.060133393966790405	0.9949494949494949	0.001	1	0.95875872024382	189.86543321609497
46	0.12047195630242126	0.9545454545454546	0.001	1	0.9549500255873709	189.1211621761322
47	0.08195213220938287	0.9797979797979798	0.001	1	0.9554632047210077	189.21550798416138
48	0.03424629659363718	1.0	0.001	1	0.9560531377792358	189.34838581085205
49	0.06009525828289263	0.98989898989899	0.001	1	0.9567000035083655	189.46681690216064
50	0.04185918515378779	0.9949494949494949	0.001	1	0.9550617138544718	189.1403887271881
51	0.04868594067867356	0.9949494949494949	0.001	1	0.9554310591533931	189.2148289680481
52	0.025397607774445503	1.0	0.001	1	0.9549340431136314	189.12655067443848
53	0.027094775829652345	1.0	0.001	1	0.9553224775526259	189.18763136863708
54	0.021425058745374582	1.0	0.001	1	0.9544771837465691	189.03387117385864
55	0.019195827570828525	1.0	0.001	1	0.9550909442130966	189.15056896209717
56	0.01803071631325616	1.0	0.001	1	0.9546107029674029	189.05562949180603
57	0.01694665171883323	1.0	0.001	1	0.9553250760743113	189.21173334121704
58	0.015839963850348887	1.0	0.001	1	0.9544938525768242	189.0367476940155
59	0.01494347687923547	1.0	0.001	1	0.9543891097560073	189.0093698501587
60	0.014363946336688417	1.0	0.001	1	0.9551343050870028	189.1491813659668
61	0.013615411941451256	1.0	0.001	1	0.9552732248498936	189.1883327960968
62	0.013173377875125769	1.0	0.001	1	0.9544719602122451	189.02907872200012
63	0.01247263556779033	1.0	0.001	1	0.9542078141010168	188.9799346923828
64	0.012451186926677973	1.0	0.001	1	0.9535261416676069	188.8308002948761
65	0.011618960385370736	1.0	0.001	1	0.9528457480247574	188.69941926002502
66	0.011128774797073518	1.0	0.001	1	0.9535853477439495	188.85047554969788
67	0.010693630786857219	1.0	0.001	1	0.9540996804381862	188.95433807373047
68	0.012455379421060736	1.0	0.001	1	0.9532728881546946	188.77974319458008
69	0.010474613820663605	1.0	0.001	1	0.9526052968670623	188.65552735328674
70	0.009964341467077082	1.0	0.001	1	0.9533211606921572	188.80363368988037
71	0.009772808262796112	1.0	0.001	1	0.9520074285642065	188.54615306854248
72	0.009612303189557008	1.0	0.001	1	0.9522601161340271	188.58182859420776
73	0.009141415056556162	1.0	0.001	1	0.9526353291790894	188.65359687805176
74	0.008835717885181157	1.0	0.001	1	0.9519481899762394	188.53877449035645
75	0.008631301046621919	1.0	0.001	1	0.9539019411260431	188.91030550003052
76	0.008379083089154176	1.0	0.001	1	0.953191157543298	188.77646660804749
77	0.00809948191498265	1.0	0.001	1	0.9519119491480817	188.51944994926453
78	0.008012810740808044	1.0	0.001	1	0.9521318264681884	188.56471753120422
79	0.007702739551813916	1.0	0.001	1	0.9521928929319285	188.57715392112732
80	0.0075801189499672015	1.0	0.001	1	0.9520218179683493	188.53901505470276
81	0.007294080474159934	1.0	0.001	1	0.9513259078517105	188.4062488079071
82	0.007203927545836477	1.0	0.001	1	0.9511193675224228	188.374906539917
83	0.007098532686329851	1.0	0.001	1	0.9519102790138938	188.51611351966858
84	0.006916994398290461	1.0	0.001	1	0.9505371987217605	188.2537121772766
85	0.006892245827299176	1.0	0.001	1	0.9514790087035208	188.4365737438202
86	0.00659536954128381	1.0	0.001	1	0.9510471495715055	188.3554186820984
87	0.006614119717569062	1.0	0.001	1	0.9523330397076077	188.6040804386139
88	0.00637944479181309	1.0	0.001	1	0.9510350227355957	188.33303332328796
89	0.00627643893463443	1.0	0.001	1	0.9510251404059054	188.34527325630188
90	0.00621246388464263	1.0	0.001	1	0.950447283609949	188.22894072532654
91	0.005935123472502737	1.0	0.001	1	0.9502741423520175	188.18344807624817
92	0.00594654588988333	1.0	0.001	1	0.9508977767192957	188.31118631362915
93	0.005770128784757672	1.0	0.001	1	0.9515080403799963	188.44800996780396
94	0.005744356699664183	1.0	0.001	1	0.9504205241347804	188.2261962890625
95	0.005626901231630884	1.0	0.001	1	0.9496553269299594	188.06639671325684
96	0.005530391678665624	1.0	0.001	1	0.9520937589683918	188.55991125106812
97	0.0053433637426357075	1.0	0.001	1	0.9510206056363655	188.34826278686523
98	0.0052681727842851115	1.0	0.001	1	0.9503664488744255	188.22206807136536
99	0.005276056853207675	1.0	0.001	1	0.9487081380805584	187.87738847732544
100	0.0051614527750496915	1.0	0.001	1	0.9488832782013248	187.9256227016449
101	0.005067064304544468	1.0	0.001	1	0.9500726762444082	188.1599292755127
