epoch	loss	acc-top1	acc-top5	lr	batch	batch-time	epoch-time
1	4.604320870913761	0.07528572926496802	0.22355038271993288	0.01	32	0.9008731961648998	269.39959359169006
2	3.713325039700691	0.1428122050959421	0.35912760826255635	0.01	32	0.9113765520395642	272.55619955062866
3	3.470047444708257	0.17322009017510748	0.4301142917059872	0.01	32	0.901800537587807	269.6702411174774
4	3.2691213037403446	0.21453287197231835	0.4819125511167034	0.01	32	0.9157401526652053	273.85638093948364
5	3.0997728339478545	0.24431162839467338	0.5343399391842298	0.01	32	0.9007057075117743	269.59467244148254
6	2.9396728671820793	0.27115445108524694	0.5672643388906364	0.01	32	0.9003869952964145	269.26346015930176
7	2.8144565308582763	0.29862640243263083	0.5910663730732935	0.01	32	0.9023179609241294	269.826863527298
8	2.685779914673962	0.3277760301981755	0.6333228478557198	0.01	32	0.9012467574116378	269.5144159793854
9	2.5638198100559313	0.3538848694558037	0.6577540106951871	0.01	32	0.9008225453737189	269.3993570804596
10	2.429721389537314	0.3831393519974835	0.6898395721925134	0.01	32	0.9012663236828552	269.51466631889343
11	2.323463514739392	0.40264234035860336	0.7098668344343085	0.01	32	0.901128059246867	269.4873206615448
12	2.2057837261473145	0.4366152878263605	0.7304183705567788	0.01	32	0.9002503838427489	269.2230567932129
13	2.103839202185678	0.4568522596204257	0.7551640977246513	0.01	32	0.9017634383810802	272.80304050445557
14	2.0124114730941356	0.47646010275768064	0.770368040264234	0.01	32	0.9019543694014533	270.1803629398346
15	1.927938841793464	0.49491454335744994	0.7810632274300094	0.01	32	0.9003880414675709	269.2499074935913
16	1.8177716322786168	0.5217573660480235	0.8031875851945056	0.01	32	0.8970617506416346	268.26181054115295
17	1.7647720494709813	0.5349690678410401	0.8158750131068471	0.01	32	0.8962575990619468	268.02209210395813
18	1.707664241252786	0.5494390269476774	0.8201740589283842	0.01	32	0.8959681820311275	267.94180488586426
19	1.6513383431768123	0.5704099821746881	0.8256265072874069	0.01	32	0.896159310005979	267.99456906318665
20	1.5980365778573145	0.5828877005347594	0.8349585823634267	0.01	32	0.895857252006148	267.8946394920349
21	1.5194224715795335	0.5983013526266121	0.8460731886337423	0.01	32	0.8955996825942227	267.8328471183777
22	1.460591445019676	0.6105693614344133	0.8604382929642446	0.01	32	0.8948759857228767	267.6016192436218
23	1.3906317755175273	0.6299674950193981	0.8698752228163993	0.01	32	0.8989381184147354	268.817583322525
24	1.3571899254466797	0.6422355038271993	0.8727063017720457	0.01	32	0.8960902643044258	267.97732400894165
25	1.3315410509016499	0.6442277445737653	0.8766907832651777	0.01	32	0.8953267722624202	267.73490929603577
26	1.2692242762171724	0.6600608157701583	0.88130439341512	0.01	32	0.8958058500768349	267.88347935676575
27	1.2149096598249693	0.6638355877110202	0.8945160952081367	0.01	32	0.8979803503157702	268.54712080955505
28	1.1743082623193257	0.6765230156233616	0.8997588340148894	0.01	32	0.8969529990767157	268.24276971817017
29	1.1286584378488786	0.691202684282269	0.9052112823739121	0.01	32	0.8967587166406638	268.1833643913269
30	1.094408992102552	0.705043514732096	0.908881199538639	0.01	32	0.9092043052150254	271.88939690589905
31	1.0777246583316815	0.7039949669707455	0.9107685855090699	0.01	32	0.8986208773775642	268.71819162368774
32	1.0631770960649904	0.7053580790605012	0.9145433574499319	0.01	32	0.898052416517583	268.5533821582794
33	1.029304075756075	0.7236028101080004	0.9150676313306071	0.01	32	0.8987978166561063	268.77411818504333
34	0.9942175742776637	0.7281115654818077	0.9159064695396876	0.01	32	0.8987818370296006	268.7856755256653
35	0.9917482448296688	0.7259096151829716	0.9216734822271154	0.01	32	0.8993170030140957	268.93515062332153
36	0.9748352598166509	0.7344028520499108	0.9250288350634371	0.01	32	0.900549119132817	269.2981700897217
37	0.9263675530101564	0.7461465869770368	0.9297472999895146	0.01	32	0.9008746888725255	269.4016718864441
38	0.8907007199607706	0.7552689525007864	0.9331026528258363	0.01	32	0.9007401075650219	269.37482833862305
39	0.8952044115709511	0.7542204047394359	0.9336269267065115	0.01	32	0.9012314436029032	269.4980857372284
40	0.8518138550807061	0.7701583307119639	0.9341512005871867	0.01	32	0.9029812980256352	270.04192209243774
41	0.8396174528944526	0.7720457166823949	0.9408619062598301	0.01	32	0.9038640703245947	270.3062641620636
42	0.8053859569647158	0.7850477089231415	0.9421201635734507	0.01	32	0.9037685489973496	270.257625579834
43	0.813172258495272	0.7815875013106847	0.9422250183495858	0.01	32	0.9075883766480513	271.4148414134979
44	0.7644357857519668	0.7879836426549229	0.9467337737233931	0.01	32	0.9057891145597732	270.87772274017334
45	0.7739429336880642	0.7870399496697075	0.9437978399916116	0.01	32	0.9065780623700707	271.11767530441284
46	0.7317693001996225	0.7917584145957849	0.9496697074551745	0.01	32	0.9386873946939424	280.7226312160492
47	0.7325226647856101	0.8007759253433994	0.9506134004403901	0.01	32	0.9087895525737749	271.7726128101349
48	0.717823685796753	0.8027681660899654	0.9530250602914963	0.01	32	0.9090553581913977	271.8553602695465
49	0.707845953909046	0.8017196183286148	0.9538638985005767	0.01	32	0.9097698013918057	272.0601694583893
50	0.6963780340538893	0.8102128551955542	0.9520813673062808	0.01	32	0.9129449810870116	273.0155920982361
51	0.6981658225066009	0.8032924399706407	0.9552270105903324	0.01	32	0.9105373816346644	272.3021295070648
52	0.6670940089078273	0.8160847226591171	0.9561707035755479	0.01	32	0.9106050917137427	272.30839943885803
53	0.6416323215716213	0.8239488308692461	0.9584775086505191	0.01	32	0.9114757859985964	272.5779104232788
54	0.6334556703786499	0.8292964244521338	0.9599454755164097	0.01	32	0.910982065774924	272.4222958087921
55	0.6175915576682421	0.829820698332809	0.9601551850686799	0.01	32	0.9099817419530556	272.1310489177704
56	0.601783887387772	0.8363216944531824	0.9627765544720562	0.01	32	0.909082251647643	271.8607177734375
57	0.6106606323763774	0.8345391632588864	0.9616231519345706	0.01	32	0.9075502663551764	271.3923029899597
58	0.5844434934353896	0.8400964663940442	0.9664464716367831	0.01	32	0.9090106232110473	271.84353375434875
59	0.586654637186635	0.8373702422145328	0.966131907308378	0.01	32	0.9093023486759352	271.9283149242401
60	0.5734692827840515	0.839677047289504	0.9658173429799728	0.01	32	0.9088880369894481	271.80662870407104
61	0.5627712261955531	0.8482751389325783	0.9621474258152459	0.01	32	0.9163040580558139	274.01967310905457
62	0.5678696548887503	0.8409353046031247	0.9664464716367831	0.01	32	0.9094178405493797	271.970911026001
63	0.558530487203743	0.8481702841564434	0.9673901646219986	0.01	32	0.9071746127661255	271.29212069511414
64	0.5435520820901668	0.8538324420677362	0.9668658907413232	0.01	32	0.9054970541925335	270.79512906074524
65	0.522199592888324	0.8579217783370032	0.9693824053685646	0.01	32	0.9076893831973889	271.44055104255676
66	0.54178813309543	0.8489042675893888	0.9688581314878892	0.01	32	0.9065822829370913	271.12600803375244
67	0.5086303919731877	0.8623256789346755	0.9717940652196707	0.01	32	0.9128684574943721	273.00742053985596
