epoch	loss	acc-top1	lr	batch	batch-time	epoch-time
1	0.7298961456375893	0.4898989898989899	0.001	2	1.457414448863328	144.32159852981567
2	0.6921848648726338	0.5353535353535354	0.001	2	1.469051389983206	145.4705092906952
3	0.7005429839847064	0.5050505050505051	0.001	2	1.4678927455285582	145.36621761322021
4	0.6660151213708551	0.5757575757575758	0.001	2	1.4728105477612428	145.848890542984
5	0.672654911725208	0.6161616161616161	0.001	2	1.4782793136558148	146.38177299499512
6	0.6648681901320063	0.6060606060606061	0.001	2	1.4801391351102577	146.5648114681244
7	0.6246324599993349	0.6565656565656566	0.001	2	1.489534257638334	147.50436854362488
8	0.6518204374746843	0.6161616161616161	0.001	2	1.4865810076395671	147.21511459350586
9	0.6234143692435641	0.6262626262626263	0.001	2	1.482894531404129	146.83662962913513
10	0.591270568996969	0.6666666666666666	0.001	2	1.4897597028751566	147.51908588409424
11	0.5603566624299444	0.696969696969697	0.001	2	1.468367181643091	145.4121298789978
12	0.6123625076178348	0.696969696969697	0.001	2	1.4751201735602484	146.07508277893066
13	0.5301860721424373	0.7474747474747475	0.001	2	1.479735735690955	146.5380871295929
14	0.5572691291871698	0.7373737373737373	0.001	2	1.48105644457268	146.65723752975464
15	0.5843252434272959	0.7121212121212122	0.001	2	1.484598807614259	147.00330185890198
16	0.6187312148436152	0.6565656565656566	0.001	2	1.4671609233124088	145.29417824745178
17	0.4449256953566965	0.8080808080808081	0.001	2	1.4720434564532656	145.7632932662964
18	0.4941542229869149	0.7626262626262627	0.001	2	1.4797353840837575	146.53952169418335
19	0.5108812397176569	0.7222222222222222	0.001	2	1.4795306547723635	146.51884174346924
20	0.5096582959998738	0.7323232323232324	0.001	2	1.4751249322987565	146.07394361495972
21	0.4845890198091064	0.7525252525252525	0.001	2	1.4870247166566175	147.25580191612244
22	0.4205630686548021	0.797979797979798	0.001	2	1.487412484005244	147.30016469955444
23	0.41119704132128243	0.8333333333333334	0.001	2	1.4883114641362971	147.39116787910461
24	0.4291041764346036	0.7929292929292929	0.001	2	1.483327865600586	146.88301968574524
25	0.4289206284465212	0.7727272727272727	0.001	2	1.482512637822315	146.81275987625122
26	0.4229089274550929	0.7828282828282829	0.001	2	1.476991932801526	146.26801872253418
27	0.43162699239422575	0.7676767676767676	0.001	2	1.4826733030454078	146.8172516822815
28	0.5571408335006598	0.6616161616161617	0.001	2	1.4895048261892916	147.5062038898468
29	0.4321969407375413	0.7878787878787878	0.001	2	1.4907362412924718	147.62548184394836
30	0.440297050608529	0.7626262626262627	0.001	2	1.4725122957518606	145.81158876419067
31	0.41436254105182607	0.7828282828282829	0.001	2	1.4670220721851697	145.2808120250702
32	0.40224803276736326	0.7878787878787878	0.001	2	1.4933458626872362	147.87381839752197
33	0.43370378017425537	0.7626262626262627	0.001	2	1.4814917246500652	146.70489716529846
34	0.42913672899959066	0.7676767676767676	0.001	2	1.4899948799248897	147.55056619644165
35	0.4046514828999837	0.8181818181818182	0.001	2	1.4808270449590202	146.63151359558105
36	0.3254554265677327	0.8585858585858586	0.001	2	1.488823165797224	147.43239879608154
37	0.34320966191966124	0.8282828282828283	0.001	2	1.5006170874894267	148.5979630947113
38	0.33215639145687376	0.8333333333333334	0.001	2	1.4741298526224464	145.98435401916504
39	0.3283020688427819	0.8484848484848485	0.001	2	1.4700556957360469	145.5674078464508
40	0.3235394596451461	0.8383838383838383	0.001	2	1.4707974135273634	145.63940382003784
41	0.28197754874373926	0.8787878787878788	0.001	2	1.470519614942146	145.62681126594543
42	0.29315928738526625	0.8888888888888888	0.001	2	1.47163235057484	145.73737597465515
43	0.24148674595235575	0.8939393939393939	0.001	2	1.4697080983055963	145.54401659965515
44	0.33305998281999066	0.8535353535353535	0.001	2	1.4712663298905497	145.68523645401
45	0.2265681934477103	0.9141414141414141	0.001	2	1.4713563919067383	145.69710564613342
46	0.2615177131662465	0.9090909090909091	0.001	2	1.4713496945121072	145.7097291946411
