epoch	loss	acc-top1	lr	batch	batch-time	epoch-time
1	1.0326654393263537	0.5151515151515151	0.01	4	1.3465246057510376	67.34898352622986
2	0.7453604563318118	0.4797979797979798	0.01	4	1.3425493955612182	67.16196632385254
3	0.7609956505322697	0.5050505050505051	0.01	4	1.3457674551010133	67.32303762435913
4	0.7004843011046901	0.5909090909090909	0.01	4	1.3462631320953369	67.34228372573853
5	0.7448455962267789	0.4898989898989899	0.01	4	1.3492794704437256	67.49591827392578
6	0.7726731246167963	0.5151515151515151	0.01	4	1.346101040840149	67.33223819732666
7	0.6983277081239103	0.5606060606060606	0.01	4	1.3467273616790771	67.36303043365479
8	0.7162631611631374	0.5	0.01	4	1.3470430088043213	67.38707661628723
9	0.6885423142500599	0.5404040404040404	0.01	4	1.3428806495666503	67.17367744445801
10	0.7020803033703505	0.5252525252525253	0.01	4	1.3436770248413086	67.22680115699768
11	0.6900966378173443	0.5606060606060606	0.01	4	1.3484420490264892	67.46307134628296
12	0.6534491614861921	0.6313131313131313	0.01	4	1.346752061843872	67.38588523864746
13	0.6572524393447722	0.5959595959595959	0.01	4	1.340240273475647	67.04217648506165
14	0.7110690528696234	0.5454545454545454	0.01	4	1.3483425188064575	67.45190167427063
15	0.6830302290242127	0.5858585858585859	0.01	4	1.3479964923858643	67.44030833244324
16	0.6717355630614541	0.6313131313131313	0.01	4	1.345513801574707	67.30313372612
17	0.6872790341425423	0.601010101010101	0.01	4	1.347086296081543	67.39655900001526
18	0.6684777971469995	0.6111111111111112	0.01	4	1.3427537298202514	67.16827869415283
19	0.6403207140739517	0.6464646464646465	0.01	4	1.3468284273147584	67.37381219863892
20	0.6210424475597612	0.6414141414141414	0.01	4	1.3450344181060792	67.28157639503479
21	0.6595515741242303	0.6212121212121212	0.01	4	1.3436339282989502	67.22679996490479
22	0.6573869074233855	0.6414141414141414	0.01	4	1.3437523746490478	67.22256350517273
23	0.6005805589333929	0.7070707070707071	0.01	4	1.343734531402588	67.22701716423035
24	0.6582320275330784	0.6111111111111112	0.01	4	1.3440645027160645	67.24502110481262
25	0.49583746538017737	0.8131313131313131	0.01	4	1.34237606048584	67.1562089920044
26	0.5640043303219959	0.6717171717171717	0.01	4	1.3441621351242066	67.2417504787445
27	0.585639848552569	0.6616161616161617	0.01	4	1.3435311555862426	67.213369846344
28	0.5398976742619216	0.7070707070707071	0.01	4	1.3450780248641967	67.28187775611877
29	0.46681527025771863	0.8282828282828283	0.01	4	1.3453548288345336	67.2935311794281
30	0.5421886576546563	0.7424242424242424	0.01	4	1.344327721595764	67.24991774559021
31	0.44463754031393266	0.7878787878787878	0.01	4	1.3462395191192627	67.35294532775879
32	0.5048677328259054	0.7727272727272727	0.01	4	1.3436750650405884	67.2155864238739
33	0.46078238192230764	0.7626262626262627	0.01	4	1.3435144519805908	67.20709156990051
